job_dir,job_path,alpha,dataset_name,image_size,vit_enc_model_size,vit_dec_model_size,batch_size_per_rank,sigma_max,latent_channels,latent_size,ckpt_epoch,train_epoch,regime_name,noise_mode,schedule_mode,cache_sampling_noise,use_sampling_scheduler,use_ema,probe_seed,probe_mode,cfg,cfg_position,taus_deg,seed,probe_file,mode,forward_steps,tau_deg,terminal_capture_mass,curvature_mean_deg,path_length_mean_deg,terminal_angle_mean_deg,terminal_angle_std_deg,terminal_angle_median_deg,terminal_angle_p25_deg,terminal_angle_p75_deg,nn_angle_before_mean_deg,nn_angle_before_std_deg,nn_angle_before_median_deg,nn_angle_before_p25_deg,nn_angle_before_p75_deg,nn_angle_preterminal_mean_deg,nn_angle_preterminal_std_deg,nn_angle_preterminal_median_deg,nn_angle_preterminal_p25_deg,nn_angle_preterminal_p75_deg,nn_angle_after_mean_deg,nn_angle_after_std_deg,nn_angle_after_median_deg,nn_angle_after_p25_deg,nn_angle_after_p75_deg,nn_angle_preterminal_improvement_mean_deg,nn_angle_preterminal_improvement_std_deg,nn_angle_preterminal_improvement_median_deg,nn_angle_preterminal_improvement_p25_deg,nn_angle_preterminal_improvement_p75_deg,nn_angle_improvement_mean_deg,nn_angle_improvement_std_deg,nn_angle_improvement_median_deg,nn_angle_improvement_p25_deg,nn_angle_improvement_p75_deg,preterminal_capture_mass,capture_mass,nn_preterminal_improved_mass,nn_improved_mass,nn_capture_mass,terminal_cdf_mass,nn_terminal_capture_mass,nn_preterminal_capture_mass,nn_terminal_angle_mean_deg,nn_terminal_angle_improvement_mean_deg,nn_preterminal_angle_mean_deg,nn_preterminal_angle_improvement_mean_deg,target_contraction_noise_scaler,train_epoch_available,train_step,recon_mse,recon_l1,fid,isc_mean,isc_std,kappa_mean,kappa_std,contraction_angle_in_mean_deg,contraction_angle_out_mean_deg,contraction_capture_mass,contraction_probe_file,variant_group,official_fid,official_isc_mean,official_isc_std
sphere-small-small-imagenet-100-160px-a83-second-axis,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis,83,imagenet-100,160,small,small,16,,,,ep0024,24.0,independent-fixed,independent,fixed,False,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,prior,4,60.0,0.0,118.1987762451172,332.88531494140625,70.25579833984375,2.877614021301269,69.75344848632812,67.98735046386719,72.3829345703125,89.12962341308594,0.0889296904206276,89.14171600341797,89.07878112792969,89.19283294677734,88.85745239257812,0.1762690991163253,88.88371276855469,88.77361297607422,88.98213958740234,83.06117248535156,2.333110809326172,83.55181884765625,81.9118881225586,84.70367431640625,0.2721737325191498,0.1896972060203552,0.2564964294433594,0.147613525390625,0.3743133544921875,6.068450927734375,2.323649883270264,5.585826873779297,4.442893981933594,7.244848251342773,0.0,0.0,0.95068359375,1.0,0.0,0.0,0.0,0.0,83.06117248535156,6.068450927734375,88.85745239257812,0.2721737325191498,1.0,True,98975.0,0.00202,0.02891,54.4637,35.60075,2.28089,0.7390226721763611,0.0854088887572288,82.99493408203125,61.33739471435547,0.357421875,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,a83_full_ep0024_independent,33.8556,51.437,1.15126
sphere-small-small-imagenet-100-160px-a83-second-axis,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis,83,imagenet-100,160,small,small,16,,,,ep0024,24.0,shared-fixed,shared,fixed,True,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,prior,4,60.0,0.0224609375,76.12346649169922,160.06124877929688,62.723262786865234,2.02212142944336,62.25975799560547,61.22560501098633,63.7568473815918,89.1316146850586,0.0871534422039985,89.14250946044922,89.07943725585938,89.19435119628906,88.83292388916016,0.1353276073932647,88.84906005859375,88.7526626586914,88.92799377441406,86.08126068115234,0.7235498428344727,86.1963882446289,85.68959045410156,86.58798217773438,0.2986935973167419,0.1577866226434707,0.2898025512695312,0.1885719299316406,0.3937301635742187,3.0503501892089844,0.7209520936012268,2.9374961853027344,2.5549182891845703,3.4338512420654297,0.0,0.0,0.9794921875,1.0,0.0,0.0224609375,0.0,0.0,86.08126068115234,3.0503501892089844,88.83292388916016,0.2986935973167419,1.0,True,98975.0,0.00202,0.02891,54.4637,35.60075,2.28089,0.7393476963043213,0.0847730189561843,83.00941467285156,61.3746223449707,0.36328125,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,a83_full_ep0024_shared,53.0555,32.9552,0.919385
sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check,83,imagenet-100,160,small,small,16,,,,ep0024,24.0,independent-fixed,independent,fixed,False,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,prior,4,60.0,0.0,119.9834442138672,347.11724853515625,80.45291137695312,0.8532673716545105,80.41517639160156,79.8035888671875,81.08817291259766,89.14030456542969,0.0948944240808487,89.151611328125,89.08261108398438,89.20500946044922,88.2130126953125,0.3339191973209381,88.26600646972656,88.03504180908203,88.45462799072266,75.83257293701172,3.4316744804382324,76.44392395019531,73.99348449707031,78.23683166503906,0.927293062210083,0.3400323390960693,0.8838386535644531,0.6858768463134766,1.1144657135009766,13.307733535766602,3.426954984664917,12.698997497558594,10.923406600952148,15.142528533935549,0.0,0.00146484375,0.99951171875,1.0,0.00146484375,0.0,0.00146484375,0.0,75.83257293701172,13.307733535766602,88.2130126953125,0.927293062210083,1.0,True,98975.0,0.01228,0.0776,299.87079,2.06977,0.07762,0.5409245491027832,0.0732902064919471,83.00370788574219,44.9010009765625,0.99951171875,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,a83_no_pix_con_ep0024_independent,286.515,2.10308,0.0363015
sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check,83,imagenet-100,160,small,small,16,,,,ep0024,24.0,shared-fixed,shared,fixed,True,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,prior,4,60.0,0.0,71.54527282714844,173.06980895996094,75.90129852294922,0.8685184717178345,75.72474670410156,75.27334594726562,76.35183715820312,89.14218139648438,0.091615006327629,89.15326690673828,89.09001922607422,89.20563507080078,88.17103576660156,0.2628332674503326,88.2092514038086,88.03317260742188,88.35232543945312,80.50774383544922,2.0607593059539795,80.90974426269531,79.52294921875,81.99398803710938,0.9711374640464784,0.2742995321750641,0.9378433227539062,0.7920818328857422,1.1268577575683594,8.63443660736084,2.0593061447143555,8.23543930053711,7.160886764526367,9.621454238891602,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.50774383544922,8.63443660736084,88.17103576660156,0.9711374640464784,1.0,True,98975.0,0.01228,0.0776,299.87079,2.06977,0.07762,0.5406842231750488,0.073048748075962,82.99699401855469,44.87702178955078,1.0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a83-no_pix_con-no_pix_check/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,a83_no_pix_con_ep0024_shared,293.626,2.01309,0.028259
sphere-small-small-imagenet-100-160px-a85-second-axis,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis,85,imagenet-100,160,small,small,16,,,,ep0024,24.0,independent-fixed,independent,fixed,False,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,prior,4,60.0,0.0,118.62994384765624,339.6963195800781,73.99407958984375,2.983407497406006,73.9197998046875,71.57404327392578,76.3725357055664,89.13316345214844,0.0870239809155464,89.14273071289062,89.079833984375,89.19459533691406,88.75926208496094,0.2111471742391586,88.79405212402344,88.64710998535156,88.90593719482422,78.21519470214844,3.7892796993255615,78.91962432861328,75.993896484375,81.10602569580078,0.3739087581634521,0.2211044132709503,0.3441734313964844,0.2261638641357422,0.4845619201660156,10.91796588897705,3.783746242523194,10.20755386352539,8.002185821533203,13.11528778076172,0.0,0.00048828125,0.98046875,1.0,0.00048828125,0.0,0.00048828125,0.0,78.21519470214844,10.91796588897705,88.75926208496094,0.3739087581634521,1.0,True,98975.0,0.00244,0.03189,54.572,36.20569,3.32476,0.7596441507339478,0.0800152942538261,85.00196838378906,64.57423400878906,0.216796875,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,a85_full_ep0024_independent,34.0526,53.0074,1.12306
sphere-small-small-imagenet-100-160px-a85-second-axis,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis,85,imagenet-100,160,small,small,16,,,,ep0024,24.0,shared-fixed,shared,fixed,True,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,prior,4,60.0,0.0,76.73039245605469,164.44842529296875,68.88246154785156,2.296278238296509,68.48532104492188,67.10465240478516,70.3957748413086,89.13417053222656,0.0870765522122383,89.14540100097656,89.08627319335938,89.1926498413086,88.76593017578125,0.156230941414833,88.79234313964844,88.67857360839844,88.87472534179688,83.57656860351562,1.404218316078186,83.8449935913086,82.88077545166016,84.55836486816406,0.3682445287704468,0.1707006841897964,0.3540573120117187,0.2567214965820312,0.470367431640625,5.557604789733887,1.3976082801818848,5.30230712890625,4.590091705322266,6.234317779541016,0.0,0.0,0.98828125,1.0,0.0,0.0,0.0,0.0,83.57656860351562,5.557604789733887,88.76593017578125,0.3682445287704468,1.0,True,98975.0,0.00244,0.03189,54.572,36.20569,3.32476,0.7600095272064209,0.0796519666910171,84.99751281738281,64.60059356689453,0.22119140625,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,a85_full_ep0024_shared,38.1903,43.2269,0.902476
sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup,85,imagenet-100,160,small,small,16,,,,ep0049,49.0,independent-fixed,independent,fixed,False,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup/research/probe_ckpt=ep0049_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,prior,4,60.0,0.0,118.5614013671875,338.98406982421875,73.33500671386719,3.022247791290283,73.04029846191406,70.78044128417969,75.60443115234375,89.13211059570312,0.0878510102629661,89.1441879272461,89.07992553710938,89.19315338134766,88.76903533935547,0.1999876350164413,88.80157470703125,88.67961883544922,88.90862274169922,78.84820556640625,3.434896945953369,79.61327362060547,77.12977600097656,81.37371826171875,0.3630768060684204,0.211967796087265,0.3341102600097656,0.2201347351074218,0.468841552734375,10.283910751342772,3.428663492202759,9.503036499023438,7.753705978393555,12.005859375,0.0,0.0,0.98291015625,1.0,0.0,0.0,0.0,0.0,78.84820556640625,10.283910751342772,88.76903533935547,0.3630768060684204,1.0,True,197950.0,0.00258,0.03252,56.42723,36.5501,3.30607,0.7575857639312744,0.0830243825912475,84.99787139892578,64.39529418945312,0.23681640625,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup/research/probe_ckpt=ep0049_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,a85_full_late_ep0049_independent,34.4719,52.4078,0.993995
sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup,85,imagenet-100,160,small,small,16,,,,ep0049,49.0,shared-fixed,shared,fixed,True,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup/research/probe_ckpt=ep0049_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,prior,4,60.0,0.0,76.53826141357422,164.3162384033203,68.80487060546875,2.270744800567627,68.40766143798828,67.06297302246094,70.24821472167969,89.1323013305664,0.0883932337164878,89.14385986328125,89.08377838134766,89.19404602050781,88.76856231689453,0.1541303247213363,88.79176330566406,88.68205261230469,88.87776184082031,83.54712677001953,1.3458040952682495,83.75575256347656,82.91659545898438,84.4679183959961,0.3637332320213318,0.1718932390213012,0.351287841796875,0.2521781921386719,0.466775894165039,5.585172653198242,1.3435566425323486,5.37628173828125,4.659397125244141,6.209775924682617,0.0,0.0,0.9921875,1.0,0.0,0.0,0.0,0.0,83.54712677001953,5.585172653198242,88.76856231689453,0.3637332320213318,1.0,True,197950.0,0.00258,0.03252,56.42723,36.5501,3.30607,0.7577813863754272,0.0829188600182533,85.00607299804688,64.41844940185547,0.23046875,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-second-axis-ep0049-followup/research/probe_ckpt=ep0049_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,a85_full_late_ep0049_shared,39.3766,43.5383,0.917609
sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup,85,imagenet-100,160,small,small,16,,,,ep0024,24.0,independent-fixed,independent,fixed,False,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,prior,4,60.0,0.0,119.96305847167967,351.02349853515625,82.98613739013672,0.585146963596344,83.02368927001953,82.61485290527344,83.39741516113281,89.14257049560547,0.0917139798402786,89.15150451660156,89.08844757080078,89.2093734741211,87.7557373046875,0.4697371423244476,87.80706024169922,87.49302673339844,88.08502960205078,60.939552307128906,7.162275791168213,62.10432434082031,57.23077392578125,65.87191009521484,1.3868314027786257,0.4602799415588379,1.34429931640625,1.0651836395263672,1.6546573638916016,28.20301818847656,7.146235942840576,27.016197204589844,23.340280532836918,31.88334274291992,0.0,0.37158203125,1.0,1.0,0.37158203125,0.0,0.37158203125,0.0,60.939552307128906,28.20301818847656,87.7557373046875,1.3868314027786257,1.0,True,98975.0,0.05903,0.20266,297.10576,1.46564,0.02637,0.587037980556488,0.0907027274370193,85.00196838378906,49.9018669128418,0.953125,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=False_ema=False_seed=0.json,a85_no_pix_con_ep0024_independent,289.916,1.47375,0.0120322
sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup,85,imagenet-100,160,small,small,16,,,,ep0024,24.0,shared-fixed,shared,fixed,True,False,False,0,posthoc,1.0,combo,"[5.0, 10.0, 20.0, 30.0, 45.0, 60.0]",0,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,prior,4,60.0,0.0,70.89561462402344,173.4442138671875,78.21543884277344,0.8003451824188232,78.0737533569336,77.6412353515625,78.66358947753906,89.14086151123047,0.0905297324061393,89.15135192871094,89.08771514892578,89.20389556884766,88.00630187988281,0.3952546715736389,88.07171630859375,87.78005981445312,88.28755187988281,75.15306091308594,4.777422904968262,76.02090454101562,72.50553894042969,78.55860137939453,1.1345614194869995,0.392410010099411,1.07318115234375,0.8626880645751953,1.3603229522705078,13.98779296875,4.76487398147583,13.100208282470703,10.600048065185549,16.628725051879883,0.0,0.0078125,1.0,1.0,0.0078125,0.0,0.0078125,0.0,75.15306091308594,13.98779296875,88.00630187988281,1.1345614194869995,1.0,True,98975.0,0.05903,0.20266,297.10576,1.46564,0.02637,0.5873537063598633,0.0904616117477417,85.00300598144531,49.928741455078125,0.95849609375,/home/cvrt/Desktop/dev/sphere-monorepo/sphere-encoder-basin-lab/workspace/experiments/sphere-small-small-imagenet-100-160px-a85-no_pix_con-followup/research/probe_ckpt=ep0024_cfg=1.0-combo_sched=False_cache=True_ema=False_seed=0.json,a85_no_pix_con_ep0024_shared,292.076,1.37745,0.0102614
