job_dir,alpha,ckpt_epoch,cfg,cfg_position,cache_sampling_noise,use_sampling_scheduler,use_ema,mode,noise_scaler,tau_deg,kappa_mean,kappa_std,angle_in_mean_deg,angle_out_mean_deg,capture_mass
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,5.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,10.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,20.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.00634765625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,30.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.298828125
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,45.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.99951171875
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,60.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,1.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,5.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,10.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,20.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,30.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.009765625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,45.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.32568359375
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,60.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.984375
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,5.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,10.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,20.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
